what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1370975309453
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1370975309454
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1370975309454
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1370975309455
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1370975309455
stopped,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1370975309455
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1370975309455
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1370975309461
stopped,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1370975309461
stopped,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1370975309462
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1370975309462
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1370975309462
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1370975309462
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1370975309462
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.2.v200811200248,org.eclipse.wst.command.env.ui,1370975309462
stopped,bundle,org.eclipse.wst.validation.ui,1.2.4.v200901291336,org.eclipse.wst.validation.ui,1370975309462
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1370975309462
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1370975309462
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1370975309463
stopped,bundle,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.ide,1370975309474
stopped,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1370975309474
stopped,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1370975309474
stopped,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1370975309474
stopped,bundle,org.eclipse.ui.views.properties.tabbed,3.4.2.M20090127-1700,org.eclipse.ui.views.properties.tabbed,1370975309474
stopped,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1370975309474
