<<<<<<< HEAD
, 3,6,9,12,15
0.1,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.2,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.25,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.3,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
=======

0.01,1-1-1-1-1-1-1-1-1-1-3-1-,1-1-1-1-1-1-1-1-1-1-3-1-,1-1-1-1-1-1-1-1-1-1-3-1-,1-1-1-1-1-1-1-1-1-1-3-1-,1-1-1-1-1-1-1-1-1-1-3-1-
0.05,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.1,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.2,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.25,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-
0.3,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-,1-1-1-1-1-1-1-1-1-1-1-1-1-1-, 3,6,9,12,15
>>>>>>> 435614a30e373c5273091aa4d0d57273aa361f61
